"Main_Header","Sub_Header","Step_Number","English_Instruction","German_Instruction"
"Reparaturanweisung","air-conditioning maintenance","1","Open the valves to the storage container.","Öffnen Sie das Ventil zum Vorratsbehälter."
"Reparaturanweisung","air-conditioning maintenance","2","Connect the hoses of the air conditioner with the high-pressure side as well as the low-pressure side ports of the vehicle.","Verbinden Sie die Schläuche des Klimagerätes mit den hochdruck- und niederdruckseitigen Anschlüssen des Fahrzeugs."
"Reparaturanweisung","air-conditioning maintenance","3","Turn the air-conditioning on. At this stage, the coolant is being drawn out of the vehicle and into the service unit for recycling and possible reuse.","Schalten Sie das Klimagerät ein. In dieser Phase fließt das Kühlmittel aus dem Auto in das Servicegerät, um es zurückzugewinnen und eventuell wiederzuverwerten."
"Reparaturanweisung","air-conditioning maintenance","4","At the end of the recovery process, the pressure gauge should show a value less than zero (negative pressure), this indicating that all of the coolant has been drawn from the system.","Achten Sie am Ende des Rückgewinnungsprozesses darauf, dass das Manometer einen Wert unter Null (Unterdruck) anzeigt – das ist der Hinweis, dass das gesamte Kühlmittel aus dem System entfernt ist."
"Reparaturanweisung","air-conditioning maintenance","5","Use two wrenches to disconnect the cooling hoses and to gain access to the nozzle. Remove them.","Trennen Sie mit zwei Schraubenschlüsseln die Kühlschläuche, um Zugang zum Stutzen zu bekommen. Entfernen Sie ihn."
"Reparaturanweisung","air-conditioning maintenance","6","Install a new threaded connection.","Installieren Sie einen neuen Gewindeanschluss."
"Reparaturanweisung","air-conditioning maintenance","7","Set the timer on the air conditioning unit to evacuate for at least 30 minutes. The evacuation process removes any moisture from the system.","Stellen Sie den Timer am Klimagerät zum Evakuieren auf mindestens 30 min ein. Durch die Evakuierung wird dem System jegliche Feuchtigkeit entzogen."
"Reparaturanweisung","air-conditioning maintenance","8","During the evacuation, the pressure gauge should show a required level of negative pressure.","Während der Evakuierung sollte ein vorgeschriebener Wert an Unterdruck am Manometer vorhanden sein."
"Reparaturanweisung","air-conditioning maintenance","9","During the withdrawal phase, the amount of „old" coolant should be measured. The same amount of „new" coolant should be added to the system.","Während der Entnahmephase sollte die Menge des „alten" Kühlmittels gemessen werden. Dieselbe Menge an „frischem" Kühlmittel sollte wieder zugeführt werden."
"Reparaturanweisung","air-conditioning maintenance","10","Regulate the amount of coolant that should be added to the system.","Stellen Sie am Gerät die Menge Kühlmittel ein, die nachgefüllt werden soll."
"Reparaturanweisung","air-conditioning maintenance","11","After the refilling of the system, check the air-outlet temperature (at the nozzles in the passenger compartment). It should range between 2° and 7°C.","Kontrollieren Sie nach dem Wiederbefüllen die Ausströmtemperatur der Luft (an den Düsen im Innenraum). Sie sollte zwischen 2° und 7°C liegen."
"Reparaturanweisung","hood repair","1","To remove minor damages from an aluminum hood follow these instructions:","Um geringfügige Schäden aus einer Aluminiumhaube zu entfernen, richten Sie sich nach den folgenden Anweisungen:"
"Reparaturanweisung","hood repair","2","Inspect the hoods surface for dents and bumps.","Untersuchen Sie die Oberfläche der Haube auf Dellen und Beulen."
"Reparaturanweisung","hood repair","3","Remove or reposition the hood insulation wool, the hoses for the windscreen cleaner, lamps and other parts to enable access or to prevent damages.","Entfernen bzw. befestigen Sie die Dämmwolle, die Scheibenreinigungsschläuche, Lampen und anderen Teile, um den Zugang zu ermöglichen oder weitere Schäden zu verhindern."
"Reparaturanweisung","hood repair","4","Remove the hood and place it on a stand, if this makes the repair easier.","Entfernen Sie die Haube und stellen Sie sie auf eine Ablage, wenn dies die Reparatur erleichtert."
"Reparaturanweisung","hood repair","5","Repair dents and bumps using aluminum repair tools and heat treatment procedures.","Reparieren Sie die Dellen und verbeulten Bereiche mit Hilfe von Aluminiumreparaturwerkzeugen und Wärmebehandlungsverfahren."
"Reparaturanweisung","hood repair","6","Replace nuts of the bonnet fixing or drill holes, if required.","Ersetzen Sie die Muttern der Haubenbefestigung oder bohren Sie erforderlichenfalls Löcher."
"Reparaturanweisung","hood repair","7","Apply fillers, if required. The damaged area must be within 3 mm of its original contour for most fillers to work. Follow the manufacturer's recommendations. Ensure that the filler used is compatible with aluminum. Some vehicle and product manufacturer recommend the application of a two-component epoxy primer before using fillers on aluminum.","Verwenden Sie Füllerspachtel, wenn erforderlich. Für die meisten Spachtelanwendungen muss der auszubessernde Bereich innerhalb von 3 mm seiner Originalkontur liegen. Folgen Sie den Empfehlungen des Spachtelherstellers. Stellen Sie sicher, dass die verwendete Spachtelmasse mit Aluminium kompatibel ist. Einige Fahrzeug- und Produkthersteller empfehlen die Verwendung einer 2-Komponenten-Epoxid-Grundierung vor dem Anwenden der Spachtelmasse auf Aluminium."
"Reparaturanweisung","hood repair","8","Apply anti-rust primer to all interior and exterior surfaces and other areas that have been damaged by a collision or repair work.","Verwenden Sie eine Anti-Rost-Grundierung für alle innen- und außenliegenden Oberflächen sowie alle anderen Bereiche, die durch Unfall oder Reparatur beschädigt wurden."
"Reparaturanweisung","hood repair","9","Replace any insulation material between the frame and outer skin, if it has been damaged or removed during repair work.","Ersetzen Sie jedes Teil Dämmstoff zwischen dem Rahmen und der Außenhaut, wenn es während der Reparatur beschädigt oder entfernt wurde."
"Reparaturanweisung","hood repair","10","Perform corrosion protection to surfaces on the inside.","Führen Sie den Korrosionsschutz an innenliegenden Oberflächen durch."
"Reparaturanweisung","hood repair","11","Rework areas damaged by the collision, repair work or anchoring, as required to restore the appearance.","Arbeiten Sie Bereiche nach, die vom Zusammenstoß, den Reparatur oder dem Verankern beschädigt wurden, um das Erscheinungsbild wieder herzustellen."
"Reparaturanweisung","hood repair","12","Continue with reassembling the vehicle.","Setzen Sie den Wiederzusammenbau fort."
"Reparaturanweisung","hood repair","13","Rework the surfaces cosmetically after all car body works are completed.","Führen Sie eine kosmetische Oberflächen-Nacharbeitung durch, nachdem alle Karosseriearbeiten erledigt sind."
"Werkstattanweisung","How to check a spark plug","1","Remove the spark plug connector.","Entfernen Sie den Zündkerzenstecker."
"Werkstattanweisung","How to check a spark plug","2","Place the spark plug wrench over the spark plug.","Stecken Sie den Zündkerzenschlüssel über die Zündkerze."
"Werkstattanweisung","How to check a spark plug","3","Twist the spark plug anti-clockwise until it is loose.","Drehen Sie die Kerze gegen den Uhrzeigersinn heraus, bis sie lose ist."
"Werkstattanweisung","How to check a spark plug","4","Remove the plug from the socket.","Nehmen Sie die Kerze aus der Stecknuss."
"Werkstattanweisung","How to check a spark plug","5","Examine the electrode gap and check that it is clean.","Untersuchen Sie den Spalt (Elektrodenabstand) und vergewissern Sie sich, dass er sauber ist."
"Werkstattanweisung","How to check a spark plug","6","Insert the feeler gauge in the gap.","Führen Sie die Fühlerlehre in den Spalt (Elektrodenabstand)."
